"grid...1.";"grid...2.";"krigagem2.predict"
-25,001;-51,522;156,29690329843
-24,951;-51,522;156,29690329843
-24,901;-51,522;156,29690329843
-24,851;-51,522;156,29690329843
-24,801;-51,522;156,29690329843
-24,751;-51,522;156,29690329843
-24,701;-51,522;156,29690329843
-24,651;-51,522;156,29690329843
-24,601;-51,522;156,29690329843
-24,551;-51,522;156,29690329843
-24,501;-51,522;156,29690329843
-24,451;-51,522;156,29690329843
-24,401;-51,522;156,29690329843
-24,351;-51,522;156,29690329843
-24,301;-51,522;156,29690329843
-24,251;-51,522;156,29690329843
-24,201;-51,522;156,29690329843
-24,151;-51,522;156,29690329843
-24,101;-51,522;156,29690329843
-24,051;-51,522;156,29690329843
-24,001;-51,522;156,29690329843
-23,951;-51,522;156,29690329843
-23,901;-51,522;156,29690329843
-23,851;-51,522;156,29690329843
-23,801;-51,522;156,29690329843
-23,751;-51,522;156,29690329843
-23,701;-51,522;156,29690329843
-23,651;-51,522;156,29690329843
-23,601;-51,522;156,29690329843
-23,551;-51,522;156,29690329843
-23,501;-51,522;156,29690329843
-23,451;-51,522;156,29690329843
-23,401;-51,522;156,29690329843
-23,351;-51,522;156,29690329843
-23,301;-51,522;156,29690329843
-23,251;-51,522;156,29690329843
-23,201;-51,522;156,29690329843
-23,151;-51,522;156,29690329843
-23,101;-51,522;156,29690329843
-23,051;-51,522;156,29690329843
-23,001;-51,522;156,29690329843
-22,951;-51,522;156,29690329843
-22,901;-51,522;156,29690329843
-22,851;-51,522;156,29690329843
-22,801;-51,522;156,29690329843
-22,751;-51,522;156,29690329843
-22,701;-51,522;156,296903298429
-22,651;-51,522;156,296903298429
-22,601;-51,522;156,296903298467
-22,551;-51,522;156,29690329905
-22,501;-51,522;156,296903305394
-22,451;-51,522;156,296903361121
-22,401;-51,522;156,296903775912
-22,351;-51,522;156,296906445302
-22,301;-51,522;156,296921435785
-22,251;-51,522;156,296995181571
-22,201;-51,522;156,297313245526
-22,151;-51,522;156,298514069716
-22,101;-51,522;156,302467526454
-22,051;-51,522;156,313741168574
-22,001;-51,522;156,34126338221
-21,951;-51,522;156,397570880694
-21,901;-51,522;156,48983670087
-21,851;-51,522;156,596263047215
-21,801;-51,522;156,630398815278
-21,751;-51,522;156,417396519292
-21,701;-51,522;155,72576021677
-21,651;-51,522;154,383633263524
